threads,time,speedup,run1,run2,run3
1,383.239000000,1.000000,383.819000000,383.239000000,383.792000000
2,223.516000000,1.714593,223.516000000,223.672000000,223.636000000
3,223.533000000,1.714463,223.533000000,223.547000000,223.683000000
4,138.037000000,2.776350,141.116000000,138.037000000,141.176000000
6,96.695100000,3.963376,96.751500000,96.695100000,98.293900000
8,76.781800000,4.991274,76.781800000,78.401100000,77.548000000
12,58.163800000,6.588961,59.102200000,58.392900000,58.163800000
16,49.511700000,7.740372,49.511700000,49.907300000,49.585100000
20,44.481800000,8.615636,44.481800000,44.917500000,44.595900000
24,40.826200000,9.387085,42.792300000,40.826200000,42.208400000
28,38.393200000,9.981950,38.393200000,40.763500000,38.801800000
32,36.626300000,10.463492,41.426100000,36.626300000,39.684400000
36,34.758400000,11.025795,35.140400000,35.554300000,34.758400000
40,33.918200000,11.298919,34.463500000,35.960200000,33.918200000
44,33.754000000,11.353884,33.754000000,37.039500000,34.770600000
48,33.427500000,11.464782,33.427500000,33.904900000,33.962600000
